event_id,year,month,state,event_type,cz_type,deaths_direct,deaths_indirect,injuries_direct,injuries_indirect,damage_property_usd,damage_crops_usd,magnitude,magnitude_type,tor_f_scale,begin_lat,begin_lon,duration_hours,state_population,state_real_gdp_musd
933927,2021,1,California,Flood,C,0,0,0,0,2000000.0,0.0,,,,36.3806,-121.0014,0.5,39152927.0,3151112.5
934049,2021,1,Illinois,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,8.0,12703354.0,857114.6
934050,2021,1,Illinois,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,8.0,12703354.0,857114.6
934062,2021,1,Missouri,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,8.0,6172551.0,331578.0
934202,2021,1,Arkansas,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,17.38,3027127.0,137634.8
934215,2021,1,Arkansas,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,17.65,3027127.0,137634.8
934232,2021,1,Arkansas,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,7.8,3027127.0,137634.8
934493,2021,1,Nebraska,Blizzard,Z,0,0,0,0,,,,,,,,19.0,1964697.0,135166.4
934581,2021,1,Nebraska,Winter Storm,Z,0,0,0,0,,,,,,,,24.0,1964697.0,135166.4
934585,2021,1,Nebraska,Winter Storm,Z,0,0,0,0,,,,,,,,22.0,1964697.0,135166.4
934599,2021,1,Iowa,Winter Storm,Z,0,0,0,0,,,,,,,,22.0,3199037.0,202470.6
935082,2021,1,Montana,High Wind,Z,0,0,0,0,0.0,0.0,50.0,MG,,,,7.5,1106416.0,53345.9
935533,2021,1,Michigan,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,24.0,10042362.0,528701.8
935668,2021,1,Minnesota,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,22.5,5714055.0,377975.8
935814,2021,1,New Mexico,Drought,Z,0,0,0,0,0.0,0.0,,,,,,743.98,2117300.0,101499.2
935819,2021,1,New Mexico,Drought,Z,0,0,0,0,0.0,0.0,,,,,,743.98,2117300.0,101499.2
936036,2021,1,Montana,High Wind,Z,0,0,0,0,50000.0,0.0,56.0,EG,,,,8.0,1106416.0,53345.9
936172,2021,1,Virginia,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,8.0,8660007.0,565790.7
936498,2021,1,Gulf Of Mexico,Marine Thunderstorm Wind,Z,0,0,0,0,0.0,0.0,35.0,MG,,29.4,-84.86,0.0,,
936530,2021,1,Arizona,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,31.67,7274022.0,396457.5
936591,2021,1,Iowa,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,19.0,3199037.0,202470.6
936596,2021,1,Iowa,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,18.0,3199037.0,202470.6
936604,2021,1,Iowa,Blizzard,Z,0,0,0,0,0.0,0.0,,,,,,6.0,3199037.0,202470.6
936684,2021,1,Illinois,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,9.5,12703354.0,857114.6
936689,2021,1,Illinois,Winter Weather,Z,0,1,0,0,0.0,0.0,,,,,,9.0,12703354.0,857114.6
936701,2021,1,Illinois,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,19.5,12703354.0,857114.6
936706,2021,1,Illinois,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,15.5,12703354.0,857114.6
936751,2021,1,Illinois,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,26.0,12703354.0,857114.6
936894,2021,1,Texas,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,13.75,29572672.0,1905512.4
936923,2021,1,Texas,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,12.0,29572672.0,1905512.4
937166,2021,1,Maryland,Winter Storm,Z,0,0,0,0,,,,,,,,19.98,6176035.0,407160.1
937173,2021,1,Virginia,Winter Storm,Z,0,0,0,0,,,,,,,,22.98,8660007.0,565790.7
937240,2021,1,Idaho,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,72.0,1904855.0,88955.2
937284,2021,1,Idaho,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,74.0,1904855.0,88955.2
937613,2021,1,North Dakota,High Wind,Z,0,0,0,0,0.0,0.0,55.0,MG,,,,8.0,777977.0,57351.3
937637,2021,1,Illinois,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,15.0,12703354.0,857114.6
937640,2021,1,North Dakota,High Wind,Z,0,0,0,0,0.0,0.0,52.0,EG,,,,8.0,777977.0,57351.3
937737,2021,1,Wisconsin,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,15.22,5882128.0,334848.6
937921,2021,1,Oregon,Strong Wind,Z,0,0,0,0,2000.0,,31.0,EG,,,,1.0,4254691.0,250919.9
937966,2021,1,Kansas,High Wind,Z,0,0,0,0,0.0,0.0,53.0,MG,,,,24.0,2938966.0,170401.2
937997,2021,1,California,High Wind,Z,0,0,0,0,0.0,0.0,77.0,MG,,,,24.0,39152927.0,3151112.5
938081,2021,1,Iowa,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,24.0,3199037.0,202470.6
938270,2021,1,Pennsylvania,Lake-Effect Snow,Z,0,0,0,0,30000.0,0.0,,,,,,28.0,13016628.0,766140.0
938271,2021,1,Pennsylvania,Lake-Effect Snow,Z,0,0,0,0,70000.0,0.0,,,,,,28.0,13016628.0,766140.0
938419,2021,1,New York,Winter Weather,Z,0,0,0,0,,,,,,,,24.0,19835345.0,1750551.2
938426,2021,1,New York,Winter Weather,Z,0,0,0,0,,,,,,,,24.0,19835345.0,1750551.2
938519,2021,1,Washington,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,11.0,7744316.0,626122.2
938543,2021,1,California,Astronomical Low Tide,Z,0,0,0,0,0.0,0.0,,,,,,68.0,39152927.0,3151112.5
938616,2021,1,North Dakota,High Wind,Z,0,0,0,0,50000.0,0.0,81.0,MG,,,,29.0,777977.0,57351.3
938679,2021,1,New York,Cold/Wind Chill,Z,0,0,0,0,,,,,,,,14.0,19835345.0,1750551.2
938732,2021,1,Vermont,Cold/Wind Chill,Z,0,0,0,0,,,,,,,,17.0,647238.0,33584.3
938747,2021,1,South Dakota,Blizzard,Z,0,0,0,0,,,,,,,,10.0,896303.0,56015.4
938750,2021,1,South Dakota,High Wind,Z,0,0,0,0,,,52.0,MG,,,,4.0,896303.0,56015.4
938804,2021,1,California,Strong Wind,Z,0,0,0,0,0.0,2000000.0,22.0,EG,,,,10.0,39152927.0,3151112.5
